#Star	ID	RA	RA_Error	DEC	DEC_Error	Parallax	Parallax_Error	BP-RP	Rad_Vel	Rad_Vel_Error	Teff
G121-012	4005317278538492928	176.14629549886558	0.052283421689400505	25.53638796454149	0.05156845480096302	6.9279733161676385	0.08687505868836962	-9999	198.67618012743475	0.2523134647816997	-9999
G197-030	858626364051323904	176.76672329781331	0.012397514501801024	59.99354472271405	0.013031424029564979	4.690453322758094	0.01650387111978079	1.039401	-9999	-9999	5102.5
G122-051	4034171629042489088	178.2666506009673	0.045130482051451384	37.693634929735204	0.027593617409440344	108.95511037989432	0.04904024909756336	1.0074782	-97.6893064317814	0.24563504309991124	5264.75
G011-044	3699174968912810624	182.73215841636136	0.19984980023973933	0.39655081467480824	0.12159446252938608	5.810279400333632	0.2715528253771762	0.6711874	98.4765889772659	1.9615124188236153	6335.9697
G238-030	1677649895521907200	199.4146719481435	0.021828752317575875	64.25270916160758	0.016501866466517752	3.0880606127134995	0.02074394161277935	0.7000723	-9999	-9999	6161.0
G064-012	3662741860852094208	205.0093987968794	0.05964914071945317	-0.03888650025579811	0.05413447733979663	3.7625821805378448	0.08558590880075584	0.5964718	-9999	-9999	6901.0
G165-039	1458016709798909952	209.78998062138817	0.01815556355235384	33.859099305176514	0.02290987374926313	5.72168270524085	0.03395633418300917	0.61747456	-170.34541119901834	0.40890825058872465	6472.81
G064-037	3643857920443831168	210.62513894955765	0.050095140204627166	-5.653144344937094	0.07965881099317643	4.212570955827094	0.0959936870772893	0.6012497	79.89476541405458	0.4648944503777659	6869.0
G166-037	1255095276181144320	218.71274477944036	0.023343126868649956	25.16609008394869	0.026176065209948488	5.12434854311653	0.030860667766603563	0.9213524	367.1441332931909	1.5008382539357157	5391.575
G201-005	1607208755375882368	219.03579502164953	0.021416532044104254	55.550005892462764	0.02285200648707167	4.237827319048141	0.022799025329400004	0.61749935	-32.42336307399398	1.1085301357444324	6908.0
G239-026	1698452037044277632	221.17463519060524	0.022794810680463837	71.45147277248499	0.017599815811492826	4.038355801817173	0.021121761649871153	0.7009077	-9999	-9999	6306.0
G015-013	1157100026750416640	228.13324580072364	0.030727510795514466	6.026139655772267	0.028092327354172764	7.674527714981279	0.03727841737845752	1.0099669	219.67706268262933	1.0325976092929805	5326.0
G016-025	4425854676297423104	240.33914867420324	0.01664349815860343	5.393989401764588	0.013792182996555784	3.3759839505077514	0.021907561135972788	0.85190105	-9999	-9999	5760.0
G180-024	1383605782919581824	240.80427372170473	0.021338656439189887	42.24471973188198	0.025275595785882628	8.476393605045963	0.02851022775095293	0.68493366	-152.00421850552684	0.25700592518980514	6122.05
G168-042B	1301595512706568960	244.96504348290327	0.542799298454505	22.637028888270212	0.6218515669012915	13.927433397387798	0.7442390846968928	0.99204636	157.44194699908672	0.8771403606428182	5352.0
G170-021	4568304825812360064	257.3139390411887	0.044061530709439745	22.735122851286654	0.06781082069705224	4.200217427580918	0.0818745810028459	0.85692024	-221.68535506945472	1.105508822907551	5745.0
G020-008	4376174445988280576	264.9384020076456	0.036972217223632795	2.416881082102592	0.03672227223732692	9.840871708091685	0.04540571653669251	0.7217293	-396.8178648452424	1.2124156443882512	5998.3047
G184-007	4585593684089622016	276.0531378016548	0.011276598259312562	27.285564132601067	0.01561671583652265	3.1709155246076146	0.01876651073762492	1.0858269	-9999	-9999	5033.49
G262-021	2245381178339143424	308.85855051159297	0.011927397096703903	64.90214960847888	0.014156841480540134	3.6793951939676215	0.012941777523273872	1.0352345	-9999	-9999	5095.8765
G144-028	1754794277028410368	310.6034851262519	0.026149353790570037	11.290938591883933	0.022599077324999117	4.261370413406791	0.032188521546263935	0.8725519	-9999	-9999	5781.0
G025-024	2685833132557398656	319.17461825228577	0.0355853466210091	-1.3035077166636575	0.03327023672649984	5.5158877186421895	0.045924648271669734	0.73524475	47.82229611644769	1.8027553507001255	6291.0
G093-001	2692271460332803712	319.6341603494134	0.026362557922579053	2.605336550497419	0.02317479026723617	1.8499535021595621	0.029203773072460075	0.87591267	-9999	-9999	5628.9
G026-012	2688113962054816128	323.40343827807	0.040087342605682794	0.39540667455290973	0.04360725828339262	3.441554196340038	0.05242121805081936	0.66661644	-235.43060104218685	2.946939798259903	6303.0
G188-020	1945845069576623872	325.54313145623286	0.03499841372331686	30.995609391721374	0.03616117060856469	2.7625734899618206	0.05655055300508599	0.76507664	-115.29075168892155	1.3833633609769527	5783.5
G188-030	1946297900868982016	328.8211671918793	0.015315764844963777	32.6453004265765	0.02051069178791364	12.336444664472998	0.029663827923274877	0.9395962	-185.11300937797097	0.42833507102361795	5420.5
G018-040	2708409091279404672	334.9747670528416	0.03782119438982988	5.429939571476366	0.042114951493320535	4.0639167702203975	0.04638205215538519	0.7753506	-196.428855393329	2.7801336939986108	6270.7197
G241-004	2219975484711250304	335.3359235054927	0.02246013876518993	68.46440984391415	0.02087975184229783	6.270210150231073	0.023816578560795297	1.0778141	-410.0000785760299	2.783201906916894	5021.0303
G215-047B	2000491037995373184	337.1233258159219	0.053654854869207805	51.17097715141583	0.04791400513400356	4.336472809902026	0.06501108862731507	0.8135834	-263.7658154148085	3.133055551438018	5754.0
G233-026	2201855464367882112	339.9831957427831	0.02398168184490795	61.718295922581916	0.024373177085804006	7.254675399295239	0.02440041308773322	0.90500164	-312.31222358487014	2.041515516332184	5473.0
G189-050	1891101558156904064	344.11398217214145	0.03329267384259052	33.88273173781278	0.025314349800450914	5.154129752055986	0.04093640070609307	0.9465103	-322.0271821550026	1.196093522588754	5412.0
G242-019	2233054931436529536	344.9294431234286	0.01608138350566297	75.65342297564784	0.015427607091025815	4.760577467532307	0.01782121910425734	0.947896	-322.1474572820062	3.4325563913383044	5357.41
